Date	Acura CSX Canadian Sales 	Acura MDX U.S. Sales 	Acura MDX Canadian Sales 	Acura RDX U.S. Sales 	Acura RDX Canadian Sales 	Acura RL U.S. Sales 	Acura RL Canadian Sales 	Acura TL U.S. Sales 	Acura TL Canadian Sales 	Acura TSX U.S. Sales 	Acura TSX Canadian Sales 	Acura ZDX U.S. Sales 	Acura ZDX Canadian Sales 
1/1/10	43	2358	389	700	137	110	4	1986	76	1806	50	172	17
2/1/10	132	3266	328	850	114	131	3	2410	145	2123	114	159	22
3/1/10	203	3281	623	1025	365	163	5	3917	319	3072	253	264	56
4/1/10	185	3714	619	1168	321	154	6	2842	306	2607	232	234	39
5/1/10	156	4064	509	1513	324	151	4	2925	277	2808	183	305	50
6/1/10	187	3847	515	1352	318	163	0	2702	228	2510	158	265	33
7/1/10	171	4194	497	1708	281	172	5	3123	258	3242	179	578	40
8/1/10	159	4386	567	1226	285	193	1	2882	246	2419	155	428	38
9/1/10	136	4077	522	1382	262	240	0	2514	240	2256	208	251	92
10/1/10	197	3945	590	1328	225	251	5	3042	254	2251	224	194	227
11/1/10	197	4191	385	1183	227	168	11	2431	266	2589	218	156	145
12/1/10	298	5887	450	1540	304	141	20	3275	280	4393	323	253	104
1/1/11	94	3127	203	993	130	160	4	1592	87	1941	49	148	7
2/1/11	87	3845	334	1344	181	168	3	2447	205	2794	89	198	8
3/1/11	188	4113	521	1297	236	199	11	3995	293	2810	127	197	13
4/1/11	202	3912	477	1343	261	181	7	2887	296	3105	107	176	11
5/1/11	167	3824	389	1042	215	58	7	2197	214	1751	90	128	10
6/1/11	169	3374	480	1068	206	59	5	2296	198	1808	68	103	7
7/1/11	174	3438	385	1100	270	70	4	2555	183	2137	129	102	19
8/1/11	219	3126	705	1139	259	41	3	2404	156	2263	96	81	11
9/1/11	163	2925	733	1336	263	43	4	2507	390	3112	74	87	14
10/1/11	139	3691	398	1632	329	22	2	2662	386	2977	207	131	11
11/1/11	120	3308	376	1326	368	45	0	2412	384	2691	285	127	10
12/1/11	73	4588	333	1576	352	50	6	3283	437	3546	338	86	8
1/1/12	2	2861	243	884	157	33	0	2283	222	2266	78	54	15
2/1/12	1	3583	360	1007	196	28	1	3211	337	3373	92	56	11
3/1/12	15	3755	370	1007	126	38	4	2923	270	3355	101	88	16
4/1/12	2	3952	522	1984	459	33	3	2997	354	3138	144	71	13
5/1/12	2	4841	625	3301	594	50	2	3262	274	2880	147	84	8
6/1/12	1	5125	388	3090	554	32	6	3377	269	2602	137	63	8
7/1/12	3	4288	413	2664	470	40	2	2358	304	1980	97	85	6
8/1/12	0	5549	442	2926	462	41	1	3201	262	2103	92	93	5
9/1/12	0	4692	427	2938	437	34	2	3236	187	1681	74	48	4
10/1/12	1	3771	497	2659	480	21	4	2560	245	1577	259	46	1
11/1/12	0	3368	449	3036	393	11	3	1918	200	1768	139	37	11
12/1/12	0	5069	506	4024	398	18	1	2246	399	2142	78	50	12
1/1/13	0	2575	257	2489	370	13	0	1497	111	1326	78	31	3
2/1/13	0	2946	165	2795	382	11	5	2216	125	1358	89	25	5
3/1/13	0	3207	783	3875	423	8	2	3080	163	1492	66	43	7
4/1/13	0	2877	789	4088	750	7	2	2959	175	1622	64	52	8
5/1/13	0	2781	580	4930	690	273	3	2682	185	1948	94	41	3
6/1/13	0	3828	352	4023	426	499	35	2156	241	1708	37	44	3
7/1/13	0	5551	600	3936	478	617	35	1843	227	1680	29	41	2
8/1/13	0	6499	527	4381	534	459	17	2227	240	1755	42	29	3
9/1/13	0	4539	468	3022	483	311	28	1102	296	1294	70	17	1
10/1/13	0	5608	489	3333	556	830	33	1295	231	1211	63	14	4
11/1/13	0	6091	506	3663	522	676	16	1466	187	1071	80	10	3
12/1/13	0	6538	598	4215	498	597	9	1795	193	1019	267	14	7
1/1/14	0	4241	355	2730	322	420	12	1368	79	893	36	14	1
2/1/14	0	4563	306	2911	349	371	51	1480	96	911	50	8	0
3/1/14	0	5793	568	4580	634	387	42	2004	248	1119	86	14	4
4/1/14	0	5180	547	4344	901	353	24	1694	197	880	10	12	0
5/1/14	0	5997	674	4299	720	324	26	1480	198	941	21	5	0
6/1/14	0	4890	482	3485	525	229	18	990	131	681	2	3	0
7/1/14	0	6283	499	3532	485	208	9	736	94	479	0	7	0
8/1/14	0	6497	542	3984	443	216	4	463	206	240	0	3	0
9/1/14	0	4864	523	3230	485	187	16	142	39	58	0	3	1
10/1/14	0	5324	562	3178	569	260	9	105	58	48	1	4	0
11/1/14	0	5210	556	3436	573	225	8	78	30	20	0	3	0
12/1/14	0	6761	658	5156	551	233	24	76	0	17	0	2	0
1/1/15	0	4381	337	3517	363	0	0	18	0	6	0	0	0
2/1/15	0	4553	240	3862	406	0	0	22	0	4	0	0	0
3/1/15	0	5503	421	3963	492	0	0	16	0	9	0	1	0
4/1/15	0	4970	580	3972	841	0	0	10	0	4	0	0	0
5/1/15	0	5421	547	5343	828	0	0	10	0	4	0	0	0
6/1/15	0	4592	404	5056	880	0	0	5	0	1	0	1	0
7/1/15	0	4977	491	4577	587	0	0	3	0	2	0	0	1
8/1/15	0	4747	472	4364	642	0	0	1	0	1	0	0	0
9/1/15	0	4313	692	3848	637	0	0	1	0	1	0	0	0
10/1/15	0	4405	513	3891	624	0	0	1	0	3	0	0	0
11/1/15	0	4092	565	3691	613	0	0	1	0	0	0	0	0
12/1/15	0	6254	552	4942	467	0	0	0	0	0	0	0	0
1/1/16	0	3576	364	3104	333	0	0	0	0	0	0	0	1
2/1/16	0	4292	316	3798	352	0	0	0	0	0	0	0	0
3/1/16	0	4088	431	5310	694	0	0	0	0	2	0	0	0
4/1/16	0	4733	509	5905	829	0	0	0	0	0	0	0	0
5/1/16	0	4208	431	4566	579	0	0	0	0	1	0	0	0
6/1/16	0	3718	395	3593	724	0	0	0	0	0	0	0	0
7/1/16	0	4902	391	4320	709	0	0	0	0	0	0	0	0
8/1/16	0	5131	636	4207	806	0	0	0	0	0	0	0	0
